Metric,Year,Southwest Airlines,Continental Airlines,Lufthansa,Singapore Airlines,Air Canada,WestJet Airlines
Sales Growth,2007,8.5,8.4,12.7,,,3.8,21.3
Sales Growth,2008/2009,11.8,7.1,11.1,0.1,3.5,18.5
Operating Income Growth,2007,-15.3,46.8,-80.3,,,91.1,50.8
Operating Income Growth,2008/2009,-43.2,-145.7,2753.3,-57.5,-133.1,-2.3
Net Income Growth,2007,29.3,33.8,106.1,,,-679.7,67.8
Net Income Growth,2008/2009,-72.4,-227.5,-63.8,-44.0,-338.9,-7.8
